week,metric_name,value
1,Daily Active Users,4490.87
2,Daily Active Users,4550.17
3,Daily Active Users,4740.57
4,Daily Active Users,4745.8
5,Daily Active Users,4543.48
6,Daily Active Users,4819.61
7,Daily Active Users,4670.68
8,Daily Active Users,4292.55
9,Daily Active Users,4244.13
10,Daily Active Users,4720.17
11,Daily Active Users,4503.92
12,Daily Active Users,4809.54
13,Daily Active Users,4781.4
14,Daily Active Users,5107.67
15,Daily Active Users,4849.38
16,Daily Active Users,5156.38
17,Daily Active Users,5386.93
18,Daily Active Users,5080.08
19,Daily Active Users,4974.27
20,Daily Active Users,4907.84
21,Daily Active Users,4791.55
22,Daily Active Users,4743.78
23,Daily Active Users,4867.44
24,Daily Active Users,5020.52
25,Daily Active Users,4850.3
26,Daily Active Users,5156.94
27,Daily Active Users,5183.53
28,Daily Active Users,5622.84
29,Daily Active Users,5245.08
30,Daily Active Users,5740.51
31,Daily Active Users,5667.12
32,Daily Active Users,5569.65
33,Daily Active Users,5358.95
34,Daily Active Users,5429.25
35,Daily Active Users,5301.04
36,Daily Active Users,5047.02
37,Daily Active Users,5398.08
38,Daily Active Users,5500.88
39,Daily Active Users,5756.1
40,Daily Active Users,5667.28
41,Daily Active Users,5456.29
42,Daily Active Users,5821.18
43,Daily Active Users,6163.23
44,Daily Active Users,5558.3
45,Daily Active Users,5965.35
46,Daily Active Users,5402.56
47,Daily Active Users,5559.34
48,Daily Active Users,5667.24
49,Daily Active Users,5556.81
50,Daily Active Users,5615.76
51,Daily Active Users,5732.98
52,Daily Active Users,5886.03
53,Daily Active Users,5936.26
54,Daily Active Users,6141.32
55,Daily Active Users,6457.07
56,Daily Active Users,6468.9
57,Daily Active Users,5903.22
58,Daily Active Users,6134.6
59,Daily Active Users,5956.31
60,Daily Active Users,5575.71
61,Daily Active Users,5551.48
62,Daily Active Users,5942.92
63,Daily Active Users,5771.26
64,Daily Active Users,6278.5
65,Daily Active Users,6190.25
66,Daily Active Users,6124.55
67,Daily Active Users,6422.27
68,Daily Active Users,6546.43
69,Daily Active Users,6898.53
70,Daily Active Users,6833.0
71,Daily Active Users,6137.12
72,Daily Active Users,5973.49
73,Daily Active Users,6195.83
74,Daily Active Users,5759.41
75,Daily Active Users,5735.12
76,Daily Active Users,6228.15
77,Daily Active Users,5988.38
78,Daily Active Users,6698.19
79,Daily Active Users,6539.05
80,Daily Active Users,6848.82
81,Daily Active Users,6601.75
82,Daily Active Users,7158.36
83,Daily Active Users,6455.25
84,Daily Active Users,6640.39
85,Daily Active Users,6938.79
86,Daily Active Users,6493.03
87,Daily Active Users,6341.45
88,Daily Active Users,6265.71
89,Daily Active Users,6672.36
90,Daily Active Users,6861.07
91,Daily Active Users,6729.0
92,Daily Active Users,7282.14
93,Daily Active Users,6969.59
94,Daily Active Users,7088.86
95,Daily Active Users,7175.59
96,Daily Active Users,7155.88
97,Daily Active Users,6646.39
98,Daily Active Users,6768.61
99,Daily Active Users,7191.46
100,Daily Active Users,6366.36
101,Daily Active Users,6450.88
102,Daily Active Users,7189.07
103,Daily Active Users,7034.9
104,Daily Active Users,7533.26
105,Daily Active Users,6944.7
106,Daily Active Users,7181.35
107,Daily Active Users,7572.52
108,Daily Active Users,7178.23
109,Daily Active Users,7126.03
110,Daily Active Users,7542.17
111,Daily Active Users,7188.99
112,Daily Active Users,6879.57
113,Daily Active Users,6653.04
114,Daily Active Users,7294.51
115,Daily Active Users,6955.76
116,Daily Active Users,7572.86
117,Daily Active Users,7476.82
118,Daily Active Users,7241.77
119,Daily Active Users,8141.68
120,Daily Active Users,8273.11
121,Daily Active Users,7751.23
122,Daily Active Users,7509.02
123,Daily Active Users,7773.1
124,Daily Active Users,7218.81
125,Daily Active Users,7590.57
126,Daily Active Users,7470.51
127,Daily Active Users,7270.35
128,Daily Active Users,7707.96
129,Daily Active Users,7296.73
130,Daily Active Users,8111.84
131,Daily Active Users,7630.23
132,Daily Active Users,8059.46
133,Daily Active Users,7863.51
134,Daily Active Users,8184.72
135,Daily Active Users,8605.58
136,Daily Active Users,8038.87
137,Daily Active Users,7647.65
138,Daily Active Users,7753.84
139,Daily Active Users,7499.45
140,Daily Active Users,7921.15
141,Daily Active Users,7360.67
142,Daily Active Users,7925.54
143,Daily Active Users,7648.19
144,Daily Active Users,8723.32
145,Daily Active Users,8928.65
146,Daily Active Users,8125.23
147,Daily Active Users,8205.66
148,Daily Active Users,8400.88
149,Daily Active Users,7930.28
150,Daily Active Users,8179.8
151,Daily Active Users,7754.13
152,Daily Active Users,7521.6
153,Daily Active Users,7656.52
154,Daily Active Users,7790.25
155,Daily Active Users,7988.54
156,Daily Active Users,8005.4
1,API Response Time (avg),634.43
2,API Response Time (avg),663.21
3,API Response Time (avg),625.56
4,API Response Time (avg),601.11
5,API Response Time (avg),604.94
6,API Response Time (avg),622.32
7,API Response Time (avg),594.35
8,API Response Time (avg),640.38
9,API Response Time (avg),605.2
10,API Response Time (avg),617.37
11,API Response Time (avg),589.85
12,API Response Time (avg),568.36
13,API Response Time (avg),581.69
14,API Response Time (avg),643.43
15,API Response Time (avg),587.44
16,API Response Time (avg),624.41
17,API Response Time (avg),568.45
18,API Response Time (avg),627.72
19,API Response Time (avg),632.96
20,API Response Time (avg),544.95
21,API Response Time (avg),609.26
22,API Response Time (avg),524.05
23,API Response Time (avg),619.71
24,API Response Time (avg),528.21
25,API Response Time (avg),542.66
26,API Response Time (avg),609.27
27,API Response Time (avg),516.32
28,API Response Time (avg),532.57
29,API Response Time (avg),519.52
30,API Response Time (avg),574.76
31,API Response Time (avg),579.16
32,API Response Time (avg),575.26
33,API Response Time (avg),519.92
34,API Response Time (avg),511.06
35,API Response Time (avg),493.06
36,API Response Time (avg),584.33
37,API Response Time (avg),543.91
38,API Response Time (avg),488.52
39,API Response Time (avg),554.58
40,API Response Time (avg),488.03
41,API Response Time (avg),475.58
42,API Response Time (avg),471.74
43,API Response Time (avg),517.41
44,API Response Time (avg),486.82
45,API Response Time (avg),516.99
46,API Response Time (avg),539.49
47,API Response Time (avg),494.28
48,API Response Time (avg),457.21
49,API Response Time (avg),451.22
50,API Response Time (avg),455.94
51,API Response Time (avg),525.4
52,API Response Time (avg),506.68
53,API Response Time (avg),491.01
54,API Response Time (avg),477.26
55,API Response Time (avg),442.56
56,API Response Time (avg),436.45
57,API Response Time (avg),492.78
58,API Response Time (avg),488.24
59,API Response Time (avg),467.04
60,API Response Time (avg),467.96
61,API Response Time (avg),452.2
62,API Response Time (avg),426.51
63,API Response Time (avg),421.63
64,API Response Time (avg),439.98
65,API Response Time (avg),417.85
66,API Response Time (avg),439.79
67,API Response Time (avg),396.69
68,API Response Time (avg),444.22
69,API Response Time (avg),442.21
70,API Response Time (avg),448.47
71,API Response Time (avg),400.34
72,API Response Time (avg),417.79
73,API Response Time (avg),374.62
74,API Response Time (avg),420.88
75,API Response Time (avg),422.34
76,API Response Time (avg),439.88
77,API Response Time (avg),422.78
78,API Response Time (avg),410.8
79,API Response Time (avg),362.74
80,API Response Time (avg),420.56
81,API Response Time (avg),398.83
82,API Response Time (avg),380.17
83,API Response Time (avg),346.17
84,API Response Time (avg),365.63
85,API Response Time (avg),357.58
86,API Response Time (avg),334.59
87,API Response Time (avg),375.18
88,API Response Time (avg),372.22
89,API Response Time (avg),392.65
90,API Response Time (avg),354.14
91,API Response Time (avg),357.13
92,API Response Time (avg),318.74
93,API Response Time (avg),350.51
94,API Response Time (avg),360.42
95,API Response Time (avg),324.18
96,API Response Time (avg),358.73
97,API Response Time (avg),360.49
98,API Response Time (avg),355.05
99,API Response Time (avg),310.88
100,API Response Time (avg),321.79
101,API Response Time (avg),340.38
102,API Response Time (avg),328.5
103,API Response Time (avg),293.87
104,API Response Time (avg),342.62
105,API Response Time (avg),297.16
106,API Response Time (avg),294.76
107,API Response Time (avg),320.72
108,API Response Time (avg),325.8
109,API Response Time (avg),279.88
110,API Response Time (avg),292.72
111,API Response Time (avg),298.79
112,API Response Time (avg),284.13
113,API Response Time (avg),263.4
114,API Response Time (avg),295.67
115,API Response Time (avg),279.93
116,API Response Time (avg),273.97
117,API Response Time (avg),276.08
118,API Response Time (avg),257.82
119,API Response Time (avg),248.8
120,API Response Time (avg),269.99
121,API Response Time (avg),265.62
122,API Response Time (avg),280.47
123,API Response Time (avg),268.85
124,API Response Time (avg),240.28
125,API Response Time (avg),253.3
126,API Response Time (avg),264.67
127,API Response Time (avg),256.35
128,API Response Time (avg),220.17
129,API Response Time (avg),252.57
130,API Response Time (avg),234.59
131,API Response Time (avg),245.37
132,API Response Time (avg),235.62
133,API Response Time (avg),238.64
134,API Response Time (avg),201.46
135,API Response Time (avg),223.83
136,API Response Time (avg),214.13
137,API Response Time (avg),213.2
138,API Response Time (avg),218.96
139,API Response Time (avg),198.63
140,API Response Time (avg),201.38
141,API Response Time (avg),209.16
142,API Response Time (avg),190.24
143,API Response Time (avg),199.79
144,API Response Time (avg),192.82
145,API Response Time (avg),178.91
146,API Response Time (avg),189.3
147,API Response Time (avg),165.3
148,API Response Time (avg),182.78
149,API Response Time (avg),182.3
150,API Response Time (avg),149.7
151,API Response Time (avg),161.78
152,API Response Time (avg),167.02
153,API Response Time (avg),144.01
154,API Response Time (avg),161.16
155,API Response Time (avg),138.11
156,API Response Time (avg),144.3
1,Customer Support Tickets,290.84
2,Customer Support Tickets,354.01
3,Customer Support Tickets,311.0
4,Customer Support Tickets,363.6
5,Customer Support Tickets,319.4
6,Customer Support Tickets,315.38
7,Customer Support Tickets,333.75
8,Customer Support Tickets,274.33
9,Customer Support Tickets,323.7
10,Customer Support Tickets,304.88
11,Customer Support Tickets,267.17
12,Customer Support Tickets,318.4
13,Customer Support Tickets,330.86
14,Customer Support Tickets,335.68
15,Customer Support Tickets,324.59
16,Customer Support Tickets,309.28
17,Customer Support Tickets,288.85
18,Customer Support Tickets,327.95
19,Customer Support Tickets,265.04
20,Customer Support Tickets,323.09
21,Customer Support Tickets,249.03
22,Customer Support Tickets,264.91
23,Customer Support Tickets,283.06
24,Customer Support Tickets,269.9
